ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Education_cat_Advanced/Professional,Education_cat_Graduate,Education_cat_Undergrad,Personal Loan
37,59,35,121.0,1,2.9,1,0.0,0,0,1,0
38,51,25,71.0,1,1.4,3,198.0,1,0,0,0
39,42,18,141.0,3,5.0,3,0.0,1,0,0,1
40,38,13,80.0,4,0.7,3,252.5,1,0,0,0
41,57,32,84.0,3,1.6,3,0.0,1,0,0,0
42,34,9,60.0,3,2.3,1,0.0,0,0,1,0
43,32,7,132.0,4,1.1,2,252.5,0,1,0,1
44,39,15,45.0,1,0.7,1,0.0,0,0,1,0
45,46,20,104.0,1,5.2,1,0.0,0,0,1,0
46,57,31,52.0,4,2.5,1,0.0,0,0,1,0
47,39,14,43.0,3,0.7,2,153.0,0,1,0,0
48,37,12,186.5,4,0.2,3,211.0,1,0,0,1
49,56,26,81.0,2,4.5,3,0.0,1,0,0,0
50,40,16,49.0,1,1.8,1,0.0,0,0,1,0
51,32,8,8.0,4,0.7,2,0.0,0,1,0,0
52,61,37,131.0,1,2.9,1,0.0,0,0,1,0
53,30,6,72.0,1,0.1,1,207.0,0,0,1,0
54,50,26,186.5,3,2.1,3,240.0,1,0,0,1
55,29,5,44.0,1,0.2,3,0.0,1,0,0,0
56,41,17,139.0,2,5.2,1,0.0,0,0,1,0
57,55,30,29.0,3,0.1,2,0.0,0,1,0,0
58,56,31,131.0,2,1.2,3,0.0,1,0,0,1
59,28,2,93.0,2,0.2,1,0.0,0,0,1,0
60,31,5,186.5,2,4.5,1,252.5,0,0,1,0
61,49,24,39.0,3,1.7,2,0.0,0,1,0,0
62,47,21,125.0,1,5.2,1,112.0,0,0,1,0
63,42,18,22.0,1,1.0,1,0.0,0,0,1,0
64,42,17,32.0,4,0.0,2,0.0,0,1,0,0
65,47,23,105.0,2,3.3,1,0.0,0,0,1,0
66,59,35,131.0,1,3.8,1,0.0,0,0,1,0
67,62,36,105.0,2,2.8,1,252.5,0,0,1,0
68,53,23,45.0,4,2.0,3,132.0,1,0,0,0
69,47,21,60.0,3,2.1,1,0.0,0,0,1,0
70,53,29,20.0,4,0.2,1,0.0,0,0,1,0
71,42,18,115.0,1,3.5,1,0.0,0,0,1,0
72,53,29,69.0,4,1.0,2,0.0,0,1,0,0
73,44,20,130.0,1,5.0,1,0.0,0,0,1,0
74,41,16,85.0,1,4.0,3,0.0,1,0,0,0
75,28,3,135.0,2,3.3,1,0.0,0,0,1,0
76,31,7,135.0,4,3.8,2,0.0,0,1,0,1
77,58,32,12.0,3,0.3,3,0.0,1,0,0,0
78,46,20,29.0,3,0.5,2,0.0,0,1,0,0
79,54,30,133.0,2,2.6,3,0.0,1,0,0,1
80,50,26,19.0,2,0.4,1,118.0,0,0,1,0
81,60,36,41.0,4,1.3,1,174.0,0,0,1,0
82,47,22,40.0,3,2.7,2,0.0,0,1,0,0
83,41,16,82.0,1,4.0,3,0.0,1,0,0,0
84,33,9,50.0,1,2.4,2,0.0,0,1,0,0
85,46,22,18.0,1,0.9,3,0.0,1,0,0,0
86,27,2,109.0,4,1.8,3,0.0,1,0,0,0
87,40,16,42.0,4,2.2,2,126.0,0,1,0,0
88,48,22,78.0,3,1.1,1,0.0,0,0,1,0
89,65,41,51.0,2,1.1,1,0.0,0,0,1,0
90,25,-1,113.0,4,2.3,3,0.0,1,0,0,0
91,55,30,118.0,4,5.2,2,0.0,0,1,0,1
92,35,10,29.0,4,1.1,3,0.0,1,0,0,0
93,43,19,34.0,3,0.6,2,0.0,0,1,0,0
94,60,34,64.0,2,1.7,3,236.0,1,0,0,0
95,65,39,121.0,1,2.0,1,0.0,0,0,1,0
96,38,12,48.0,4,0.2,3,0.0,1,0,0,0
97,41,15,80.0,1,5.2,1,0.0,0,0,1,0
98,54,28,161.0,1,2.9,1,0.0,0,0,1,0
99,49,23,94.0,1,0.3,1,0.0,0,0,1,0
100,66,41,15.0,3,0.1,3,0.0,1,0,0,0
101,48,23,74.0,1,1.2,1,0.0,0,0,1,0
102,61,36,30.0,3,1.3,2,0.0,0,1,0,0
103,53,23,44.0,3,1.0,3,198.0,1,0,0,0
104,43,18,22.0,2,0.3,2,0.0,0,1,0,0
105,56,32,38.0,4,1.3,1,166.0,0,0,1,0
106,24,0,35.0,3,0.1,2,0.0,0,1,0,0
107,43,17,69.0,4,2.9,1,0.0,0,0,1,0
108,42,18,43.0,1,0.7,1,136.0,0,0,1,0
109,33,7,32.0,1,0.6,3,166.0,1,0,0,0
110,43,17,49.0,1,2.8,1,0.0,0,0,1,0
111,41,14,9.0,3,1.0,2,0.0,0,1,0,0
112,62,38,45.0,4,1.3,2,0.0,0,1,0,0
113,40,15,82.0,3,1.0,1,252.5,0,0,1,0
114,58,34,92.0,2,2.8,1,103.0,0,0,1,0
115,39,14,39.0,3,0.5,3,0.0,1,0,0,0
116,65,40,81.0,3,1.8,2,0.0,0,1,0,0
117,54,29,35.0,1,1.5,2,0.0,0,1,0,0
118,58,33,61.0,2,2.3,3,193.0,1,0,0,0
119,41,16,73.0,3,3.0,1,0.0,0,0,1,0
120,32,7,112.0,1,4.6,1,252.5,0,0,1,0
121,54,29,12.0,2,0.2,3,0.0,1,0,0,0
122,52,26,38.0,3,0.9,3,0.0,1,0,0,0
123,58,32,73.0,2,0.7,2,0.0,0,1,0,0
124,37,13,84.0,1,3.6,2,0.0,0,1,0,0
125,39,15,78.0,4,2.4,1,118.0,0,0,1,0
126,60,35,80.0,3,0.5,1,0.0,0,0,1,0
127,31,5,115.0,2,1.3,1,101.0,0,0,1,0
128,34,8,82.0,1,2.7,2,251.0,0,1,0,0
129,38,14,74.0,2,0.0,1,0.0,0,0,1,0
130,41,16,70.0,3,0.5,3,0.0,1,0,0,0
131,28,4,81.0,3,1.5,1,252.5,0,0,1,0
132,58,34,149.0,4,5.2,2,0.0,0,1,0,1
133,31,1,51.0,2,1.75,3,0.0,1,0,0,0
134,30,4,39.0,3,1.1,2,0.0,0,1,0,0
135,53,29,98.0,3,1.8,2,0.0,0,1,0,0
136,58,33,45.0,4,2.1,1,0.0,0,0,1,0
137,59,32,49.0,4,2.5,2,0.0,0,1,0,0
138,49,25,128.0,2,0.4,1,0.0,0,0,1,0
139,59,34,42.0,3,1.5,1,0.0,0,0,1,0
140,59,35,18.0,1,1.2,3,0.0,1,0,0,0
141,51,25,31.0,2,0.4,3,161.0,1,0,0,0
142,35,11,58.0,3,2.0,1,149.0,0,0,1,0
143,33,9,48.0,1,2.1,3,0.0,1,0,0,0
144,25,1,54.0,4,1.6,1,0.0,0,0,1,0
145,49,23,70.0,2,1.5,2,0.0,0,1,0,0
146,59,35,124.0,1,5.2,1,0.0,0,0,1,0
147,46,19,84.0,1,2.6666666666666665,2,0.0,0,1,0,0
148,50,25,83.0,4,3.6,3,188.0,1,0,0,0
149,52,28,163.0,2,0.4,1,116.0,0,0,1,0
150,48,22,42.0,3,2.2,2,0.0,0,1,0,0
151,46,22,118.0,2,5.2,1,0.0,0,0,1,0
152,26,0,132.0,3,5.2,3,0.0,1,0,0,1
153,57,32,24.0,1,1.3,1,0.0,0,0,1,0
154,60,36,22.0,2,1.0,1,0.0,0,0,1,0
155,54,29,58.0,4,1.3,3,0.0,1,0,0,0
156,24,0,60.0,4,1.6,1,0.0,0,0,1,0
157,26,0,15.0,4,0.4,1,0.0,0,0,1,0
158,41,17,83.0,4,2.6666666666666665,1,0.0,0,0,1,0
159,32,6,79.0,2,1.5,3,0.0,1,0,0,0
160,61,35,41.0,4,1.7,2,0.0,0,1,0,0
161,29,0,134.0,4,5.2,3,0.0,1,0,0,1
162,61,35,80.0,2,2.8,1,0.0,0,0,1,0
163,38,12,52.0,1,2.0,1,0.0,0,0,1,0
164,28,4,70.0,4,2.6,1,0.0,0,0,1,0
165,53,27,92.0,2,1.1,1,0.0,0,0,1,0
166,27,1,43.0,1,1.5,1,0.0,0,0,1,0
167,25,1,21.0,3,1.0,2,0.0,0,1,0,0
168,33,9,23.0,3,0.9,3,0.0,1,0,0,0
169,50,26,13.0,4,1.0,1,0.0,0,0,1,0
170,27,1,112.0,4,2.1,3,0.0,1,0,0,0
171,27,1,138.0,2,2.0,1,0.0,0,0,1,0
172,52,28,11.0,3,0.4,1,0.0,0,0,1,0
173,38,13,171.0,2,5.2,1,0.0,0,0,1,0
174,58,34,42.0,4,1.5,1,0.0,0,0,1,0
175,42,17,168.0,2,5.2,2,0.0,0,1,0,1
176,45,20,85.0,4,1.1,2,0.0,0,1,0,0
177,52,25,44.0,3,1.0,2,135.0,0,1,0,0
178,29,3,65.0,4,1.8,2,244.0,0,1,0,0
179,53,29,24.0,4,0.2,1,0.0,0,0,1,0
180,62,37,11.0,1,0.1,1,0.0,0,0,1,0
181,51,27,38.0,2,1.0,3,164.0,1,0,0,0
182,36,12,10.0,4,0.7,2,81.0,0,1,0,0
183,24,0,135.0,1,1.5,1,0.0,0,0,1,0
184,29,3,148.0,3,4.1,1,0.0,0,0,1,1
185,52,26,63.0,2,1.5,2,0.0,0,1,0,0
186,39,14,115.0,1,1.0,3,0.0,1,0,0,0
187,48,23,45.0,1,0.3,1,0.0,0,0,1,0
188,46,21,159.0,3,1.9,3,252.5,1,0,0,1
189,64,40,169.0,2,2.1,1,122.0,0,0,1,0
190,55,29,112.0,2,1.4,1,0.0,0,0,1,0
191,60,36,93.0,1,4.3,1,0.0,0,0,1,0
192,51,25,29.0,1,0.3,3,140.0,1,0,0,0
193,50,23,85.0,1,2.6666666666666665,2,0.0,0,1,0,0
194,48,24,21.0,4,0.6,1,0.0,0,0,1,0
195,53,29,144.0,2,5.2,1,0.0,0,0,1,0
196,34,10,13.0,4,1.0,1,95.0,0,0,1,0
197,48,24,165.0,1,5.0,1,0.0,0,0,1,0
198,55,31,9.0,4,0.7,1,89.0,0,0,1,0
199,27,3,59.0,4,0.0,1,90.0,0,0,1,0
200,36,11,158.0,1,5.1,3,0.0,1,0,0,1
201,32,6,29.0,1,1.9,3,0.0,1,0,0,0
202,35,9,20.0,2,1.4,3,0.0,1,0,0,0
203,30,3,68.0,4,2.0,2,0.0,0,1,0,0
204,58,34,65.0,4,2.2,1,0.0,0,0,1,0
205,56,31,61.0,2,1.9,2,105.0,0,1,0,0
206,38,12,91.0,4,1.4,2,100.0,0,1,0,0
207,49,25,31.0,1,1.0,1,0.0,0,0,1,0
208,34,10,71.0,4,0.1,2,0.0,0,1,0,0
209,40,16,73.0,4,2.6666666666666665,1,0.0,0,0,1,0
210,64,39,172.0,4,3.1,1,252.5,0,0,1,1
211,51,26,20.0,2,0.0,1,0.0,0,0,1,0
212,44,18,55.0,1,0.2,1,0.0,0,0,1,0
213,46,22,69.0,2,1.7,1,209.0,0,0,1,0
214,57,33,155.0,1,5.2,1,0.0,0,0,1,0
215,54,28,94.0,1,1.9,2,0.0,0,1,0,0
216,38,14,92.0,2,0.0,1,249.0,0,0,1,0
217,27,3,125.0,2,0.6,1,0.0,0,0,1,0
218,39,14,74.0,3,3.0,1,0.0,0,0,1,0
219,44,20,72.0,3,0.3,3,0.0,1,0,0,0
220,56,30,61.0,1,2.2,3,0.0,1,0,0,0
221,32,6,25.0,2,0.3,1,0.0,0,0,1,0
222,45,19,83.0,2,1.7,2,0.0,0,1,0,0
223,26,2,104.0,3,2.5,1,0.0,0,0,1,0
224,55,25,41.0,3,1.0,3,0.0,1,0,0,0
225,52,27,58.0,4,1.8,3,91.0,1,0,0,0
226,39,13,93.0,1,1.5,3,0.0,1,0,0,0
227,24,-1,39.0,2,1.7,2,0.0,0,1,0,0
228,47,23,148.0,2,5.2,1,0.0,0,0,1,0
229,47,22,53.0,4,1.9,3,98.0,1,0,0,0
230,48,24,71.0,2,1.7,1,145.0,0,0,1,0
231,47,22,92.0,1,2.8,2,0.0,0,1,0,0
232,35,10,61.0,4,2.1,3,0.0,1,0,0,0
233,46,19,38.0,3,2.5,2,135.0,0,1,0,0
234,62,37,58.0,4,1.7,1,0.0,0,0,1,0
235,26,1,80.0,1,0.8,2,150.0,0,1,0,0
236,38,8,71.0,4,1.8,3,0.0,1,0,0,0
237,43,18,89.0,3,0.5,3,0.0,1,0,0,0
238,62,38,83.0,1,1.8,3,0.0,1,0,0,0
239,57,32,28.0,3,0.2,1,0.0,0,0,1,0
240,28,3,52.0,4,1.7,2,0.0,0,1,0,0
241,51,26,70.0,1,1.2,1,169.0,0,0,1,0
242,48,22,71.0,1,1.4,3,0.0,1,0,0,0
243,41,16,75.0,1,3.7,3,252.5,1,0,0,0
244,65,39,170.0,3,5.2,3,99.0,1,0,0,1
245,41,17,78.0,4,0.8,1,78.0,0,0,1,0
246,35,11,25.0,2,1.0,2,0.0,0,1,0,0
247,38,14,60.0,2,0.6,3,0.0,1,0,0,0
248,53,29,120.0,4,2.7,2,111.0,0,1,0,1
249,55,29,99.0,2,1.4,1,252.5,0,0,1,0
250,26,1,55.0,3,2.6,3,113.0,1,0,0,0
251,30,6,29.0,3,1.0,2,117.0,0,1,0,0
252,54,28,170.0,2,5.2,2,252.5,0,1,0,1
253,65,40,53.0,3,2.2,1,0.0,0,0,1,0
254,47,21,138.0,1,0.0,1,0.0,0,0,1,0
255,65,41,134.0,3,3.9,3,121.0,1,0,0,1
256,66,40,42.0,2,0.7,3,138.0,1,0,0,0
257,26,0,99.0,4,2.3,3,0.0,1,0,0,0
258,66,41,18.0,3,0.5,1,0.0,0,0,1,0
259,35,9,24.0,4,0.3,1,0.0,0,0,1,0
260,56,30,55.0,1,1.4,1,77.0,0,0,1,0
261,51,27,58.0,1,0.0,1,0.0,0,0,1,0
262,42,16,111.0,2,1.2,3,251.0,1,0,0,1
263,49,23,33.0,1,0.3,3,0.0,1,0,0,0
264,27,1,74.0,4,1.8,2,112.0,0,1,0,0
265,45,19,38.0,2,0.7,1,0.0,0,0,1,0
266,49,23,23.0,4,0.6,3,98.0,1,0,0,0
267,63,38,61.0,2,1.5,1,0.0,0,0,1,0
268,47,22,81.0,1,2.9,1,138.0,0,0,1,0
269,64,39,129.0,1,2.5,1,0.0,0,0,1,0
270,43,13,33.0,1,0.75,3,0.0,1,0,0,0
271,60,36,63.0,4,2.2,1,0.0,0,0,1,0
272,40,14,70.0,4,1.4,2,0.0,0,1,0,0
273,29,3,45.0,4,0.2,1,158.0,0,0,1,0
274,41,16,65.0,3,0.5,3,0.0,1,0,0,0
275,30,5,74.0,4,2.2,1,0.0,0,0,1,0
276,49,24,50.0,4,1.8,3,0.0,1,0,0,0
277,30,5,22.0,4,0.5,3,109.0,1,0,0,0
278,29,2,30.0,4,1.0,3,0.0,1,0,0,0
279,50,26,21.0,4,1.0,1,0.0,0,0,1,0
280,39,14,155.0,2,3.9,1,0.0,0,0,1,0
281,33,8,64.0,4,2.1,3,164.0,1,0,0,0
282,57,31,65.0,4,2.6,3,0.0,1,0,0,0
283,34,9,71.0,4,0.7,3,0.0,1,0,0,0
284,61,36,40.0,3,0.5,2,0.0,0,1,0,0
285,44,19,69.0,3,0.5,3,0.0,1,0,0,0
286,40,13,69.0,3,2.3333333333333335,2,0.0,0,1,0,0
287,51,25,45.0,3,0.6,2,131.0,0,1,0,0
288,37,12,62.0,3,0.7,2,0.0,0,1,0,0
289,44,19,172.0,2,4.3,3,252.5,1,0,0,1
290,42,15,24.0,3,1.0,2,0.0,0,1,0,0
291,51,25,80.0,1,4.9,1,0.0,0,0,1,0
292,43,16,8.0,3,0.6666666666666666,2,88.0,0,1,0,0
293,30,5,38.0,4,0.8,1,129.0,0,0,1,0
294,45,19,93.0,4,2.6,3,0.0,1,0,0,0
295,35,9,55.0,1,2.0,1,0.0,0,0,1,0
296,60,34,64.0,2,1.7,3,0.0,1,0,0,0
297,34,9,122.0,1,0.0,1,0.0,0,0,1,0
298,55,25,70.0,3,1.4,3,0.0,1,0,0,0
299,43,19,81.0,2,3.2,1,0.0,0,0,1,0
300,41,15,159.0,1,5.2,3,0.0,1,0,0,1
301,34,9,70.0,4,1.3,1,0.0,0,0,1,0
302,65,39,150.0,2,5.2,1,196.0,0,0,1,0
303,45,21,152.0,2,5.2,1,0.0,0,0,1,0
304,49,25,186.5,4,3.0,1,252.5,0,0,1,1
305,48,23,22.0,1,0.1,1,0.0,0,0,1,0
306,60,35,22.0,1,1.3,1,123.0,0,0,1,0
307,55,29,79.0,3,0.8,1,0.0,0,0,1,0
308,42,18,33.0,1,1.4,3,0.0,1,0,0,0
309,32,8,128.0,2,4.333333333333333,1,0.0,0,0,1,0
310,62,38,91.0,1,3.8,1,0.0,0,0,1,0
311,57,32,39.0,4,0.9,1,0.0,0,0,1,0
312,52,26,121.0,1,5.2,1,167.0,0,0,1,0
313,36,6,21.0,1,0.6666666666666666,3,0.0,1,0,0,0
314,34,9,41.0,3,2.3,1,0.0,0,0,1,0
315,63,37,45.0,2,0.7,3,0.0,1,0,0,0
316,24,-2,51.0,3,0.3,3,0.0,1,0,0,0
317,57,31,165.0,1,1.6,2,0.0,0,1,0,1
318,40,16,119.0,2,4.2,2,0.0,0,1,0,1
319,27,2,110.0,4,1.8,3,190.0,1,0,0,0
320,65,39,20.0,3,0.7,2,0.0,0,1,0,0
321,60,34,64.0,1,0.8,2,248.0,0,1,0,0
322,44,20,101.0,3,4.4,2,82.0,0,1,0,1
323,63,39,101.0,1,3.9,1,0.0,0,0,1,1
324,59,34,99.0,1,4.4,1,0.0,0,0,1,1
325,56,30,158.0,4,5.2,1,0.0,0,0,1,1
326,54,28,89.0,1,1.9,2,0.0,0,1,0,0
327,52,27,80.0,1,1.3,3,0.0,1,0,0,0
328,58,32,114.0,2,2.0,1,252.5,0,0,1,0
329,60,35,49.0,3,0.5,2,0.0,0,1,0,0
330,28,4,186.5,1,5.2,1,0.0,0,0,1,0
331,54,30,78.0,4,1.0,2,0.0,0,1,0,0
332,32,6,28.0,3,1.0,1,0.0,0,0,1,0
333,59,33,42.0,1,0.8,2,0.0,0,1,0,0
334,63,38,140.0,1,2.5,1,0.0,0,0,1,0
335,48,23,45.0,1,1.3,2,0.0,0,1,0,0
336,56,32,122.0,2,0.3,1,252.5,0,0,1,0
337,36,12,65.0,3,2.6,2,0.0,0,1,0,0
338,57,27,68.0,1,1.4,3,0.0,1,0,0,0
339,29,3,153.0,2,2.0,1,252.5,0,0,1,0
340,39,13,89.0,4,1.4,2,0.0,0,1,0,0
341,59,34,91.0,1,2.6,1,0.0,0,0,1,0
342,31,6,55.0,4,2.0,2,185.0,0,1,0,0
343,43,19,118.0,2,3.3,1,0.0,0,0,1,0
344,35,5,22.0,1,0.6666666666666666,3,103.0,1,0,0,0
345,54,24,63.0,3,1.4,3,138.0,1,0,0,0
346,51,27,12.0,4,0.5,2,78.0,0,1,0,0
347,44,19,50.0,3,2.7,2,0.0,0,1,0,0
348,25,0,43.0,2,1.6,3,0.0,1,0,0,0
349,40,15,173.0,4,5.2,1,0.0,0,0,1,1
350,26,2,60.0,2,3.0,1,132.0,0,0,1,1
351,39,14,113.0,1,1.0,3,0.0,1,0,0,0
352,28,4,155.0,4,5.2,2,0.0,0,1,0,1
353,52,28,91.0,4,1.0,2,0.0,0,1,0,0
354,53,29,55.0,4,1.1,2,0.0,0,1,0,0
355,44,20,173.0,2,1.4,1,252.5,0,0,1,0
356,43,19,71.0,3,0.3,3,0.0,1,0,0,0
357,56,30,24.0,2,0.4,3,88.0,1,0,0,0
358,38,14,42.0,1,2.0,2,81.0,0,1,0,0
359,30,6,141.0,2,4.333333333333333,1,0.0,0,0,1,0
360,32,6,32.0,1,1.9,3,0.0,1,0,0,0
361,35,10,55.0,4,1.3,1,0.0,0,0,1,0
362,43,19,153.0,2,5.2,1,0.0,0,0,1,0
363,58,32,113.0,2,1.4,1,252.5,0,0,1,0
364,25,0,30.0,2,1.7,2,0.0,0,1,0,0
365,54,24,29.0,3,1.0,3,148.0,1,0,0,0
366,57,32,174.0,1,5.2,2,252.5,0,1,0,1
367,50,24,35.0,1,0.3,3,0.0,1,0,0,0
368,32,8,98.0,2,2.0,2,175.0,0,1,0,0
369,63,37,30.0,2,1.0,3,159.0,1,0,0,0
370,31,6,58.0,2,2.5,1,0.0,0,0,1,0
371,36,12,25.0,4,1.0,1,147.0,0,0,1,0
372,58,34,19.0,4,0.7,1,0.0,0,0,1,0
373,56,30,44.0,4,0.7,2,174.0,0,1,0,0
374,49,25,20.0,4,1.0,1,111.0,0,0,1,0
375,30,5,98.0,2,3.1,1,220.0,0,0,1,0
376,33,7,90.0,3,1.6,1,0.0,0,0,1,0
377,45,21,61.0,3,0.7,1,0.0,0,0,1,0
378,30,5,40.0,4,2.0,2,0.0,0,1,0,0
379,47,23,38.0,2,2.1,3,0.0,1,0,0,0
380,25,0,28.0,2,1.7,2,0.0,0,1,0,0
381,63,33,34.0,1,1.5,3,0.0,1,0,0,0
382,55,29,73.0,2,2.3,3,0.0,1,0,0,0
383,65,41,133.0,4,2.0,1,0.0,0,0,1,1
384,44,18,53.0,1,0.2,1,0.0,0,0,1,0
385,51,25,21.0,4,0.6,3,0.0,1,0,0,0
386,35,9,40.0,3,0.9,1,0.0,0,0,1,0
387,30,5,41.0,4,1.7,2,0.0,0,1,0,0
388,31,5,82.0,4,1.8,2,0.0,0,1,0,0
389,54,30,100.0,4,3.4,3,0.0,1,0,0,1
390,45,20,155.0,1,5.2,1,0.0,0,0,1,0
391,45,19,45.0,1,0.2,1,0.0,0,0,1,0
392,58,32,9.0,3,0.3,3,0.0,1,0,0,0
393,54,29,48.0,4,1.8,3,0.0,1,0,0,0
394,53,28,18.0,4,0.1,3,109.0,1,0,0,0
395,33,9,80.0,4,3.4,1,0.0,0,0,1,0
396,60,35,64.0,2,2.8,1,0.0,0,0,1,0
397,50,24,29.0,4,0.1,1,0.0,0,0,1,0
398,26,2,48.0,3,0.7,2,0.0,0,1,0,0
399,54,30,23.0,2,0.4,1,0.0,0,0,1,0
400,28,3,84.0,4,0.2,1,0.0,0,0,1,0
401,36,10,179.0,3,5.2,1,0.0,0,0,1,1
402,29,2,30.0,4,1.5,2,112.0,0,1,0,0
403,54,28,93.0,1,4.9,1,133.0,0,0,1,0
404,55,30,39.0,2,1.9,2,0.0,0,1,0,0
405,61,36,60.0,3,0.5,2,182.0,0,1,0,0
406,36,11,133.0,1,3.8,1,252.5,0,0,1,0
407,45,19,125.0,1,2.4,1,0.0,0,0,1,0
408,64,40,58.0,1,1.8,3,0.0,1,0,0,0
409,60,36,89.0,2,2.8,1,0.0,0,0,1,0
410,49,22,82.0,1,2.6666666666666665,2,125.0,0,1,0,0
411,47,23,110.0,2,3.3,1,0.0,0,0,1,0
412,60,36,54.0,4,2.3,3,0.0,1,0,0,0
413,45,20,89.0,4,1.9,3,0.0,1,0,0,0
414,32,7,42.0,3,2.3,1,0.0,0,0,1,0
415,52,28,41.0,3,1.9,2,0.0,0,1,0,0
416,35,8,38.0,4,1.0,2,124.0,0,1,0,0
417,40,15,85.0,2,0.4,1,0.0,0,0,1,0
418,53,29,83.0,4,1.0,2,0.0,0,1,0,0
419,27,0,33.0,4,1.0,3,0.0,1,0,0,0
420,58,33,50.0,4,2.1,1,0.0,0,0,1,0
421,47,22,58.0,4,3.6,3,0.0,1,0,0,0
422,28,3,115.0,4,3.1,2,0.0,0,1,0,1
423,46,20,145.0,2,5.2,1,0.0,0,0,1,0
424,43,19,161.0,2,5.2,1,0.0,0,0,1,0
425,56,30,38.0,1,0.2,1,0.0,0,0,1,0
426,28,3,28.0,4,0.8,1,0.0,0,0,1,0
427,42,18,75.0,3,2.3333333333333335,1,0.0,0,0,1,0
428,32,7,35.0,3,1.3,1,116.0,0,0,1,0
429,62,38,24.0,2,1.0,1,116.0,0,0,1,0
430,37,13,78.0,4,0.1,2,0.0,0,1,0,0
431,51,26,113.0,1,1.3,3,161.0,1,0,0,0
432,39,13,75.0,3,2.1,1,224.0,0,0,1,0
433,43,17,91.0,1,5.2,1,0.0,0,0,1,0
434,52,28,31.0,4,0.2,1,141.0,0,0,1,0
435,30,6,45.0,1,1.8,2,0.0,0,1,0,0
436,52,26,80.0,3,0.8,1,0.0,0,0,1,0
437,61,35,50.0,3,1.4,3,112.0,1,0,0,0
438,36,9,31.0,4,1.0,2,0.0,0,1,0,0
439,58,32,113.0,2,3.8,2,119.0,0,1,0,1
440,47,23,29.0,4,0.6,1,0.0,0,0,1,0
441,64,39,59.0,2,1.5,1,139.0,0,0,1,0
442,52,27,43.0,1,1.3,2,0.0,0,1,0,0
443,58,28,122.0,1,3.0,3,115.0,1,0,0,1
444,48,24,29.0,1,1.0,1,0.0,0,0,1,0
445,64,40,91.0,2,0.0,3,0.0,1,0,0,0
446,58,32,65.0,3,2.2,3,0.0,1,0,0,0
447,47,23,22.0,1,1.0,1,0.0,0,0,1,0
448,49,23,71.0,1,1.4,3,0.0,1,0,0,0
449,31,4,60.0,4,2.0,2,0.0,0,1,0,0
450,61,37,60.0,3,2.0,3,0.0,1,0,0,0
451,51,25,69.0,1,0.3,1,0.0,0,0,1,0
452,28,-2,48.0,2,1.75,3,89.0,1,0,0,0
453,39,13,21.0,3,0.2,2,0.0,0,1,0,0
454,54,28,53.0,4,2.8,2,0.0,0,1,0,0
455,50,24,29.0,3,0.9,3,0.0,1,0,0,0
456,30,4,60.0,4,2.2,2,0.0,0,1,0,0
457,64,39,42.0,3,0.5,2,116.0,0,1,0,0
458,29,3,69.0,3,0.3,3,0.0,1,0,0,0
459,48,24,20.0,1,1.0,1,0.0,0,0,1,0
