ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Education_cat
148,50,25,83.0,4,3.6,3,188.0,No,Advanced/Professional
149,52,28,163.0,2,0.4,1,116.0,No,Undergrad
150,48,22,42.0,3,2.2,2,0.0,No,Graduate
151,46,22,118.0,2,5.2,1,0.0,No,Undergrad
152,26,0,132.0,3,5.2,3,0.0,Yes,Advanced/Professional
153,57,32,24.0,1,1.3,1,0.0,No,Undergrad
154,60,36,22.0,2,1.0,1,0.0,No,Undergrad
155,54,29,58.0,4,1.3,3,0.0,No,Advanced/Professional
156,24,0,60.0,4,1.6,1,0.0,No,Undergrad
157,26,0,15.0,4,0.4,1,0.0,No,Undergrad
158,41,17,83.0,4,2.6666666666666665,1,0.0,No,Undergrad
159,32,6,79.0,2,1.5,3,0.0,No,Advanced/Professional
160,61,35,41.0,4,1.7,2,0.0,No,Graduate
161,29,0,134.0,4,5.2,3,0.0,Yes,Advanced/Professional
162,61,35,80.0,2,2.8,1,0.0,No,Undergrad
163,38,12,52.0,1,2.0,1,0.0,No,Undergrad
164,28,4,70.0,4,2.6,1,0.0,No,Undergrad
165,53,27,92.0,2,1.1,1,0.0,No,Undergrad
166,27,1,43.0,1,1.5,1,0.0,No,Undergrad
167,25,1,21.0,3,1.0,2,0.0,No,Graduate
168,33,9,23.0,3,0.9,3,0.0,No,Advanced/Professional
169,50,26,13.0,4,1.0,1,0.0,No,Undergrad
170,27,1,112.0,4,2.1,3,0.0,No,Advanced/Professional
171,27,1,138.0,2,2.0,1,0.0,No,Undergrad
172,52,28,11.0,3,0.4,1,0.0,No,Undergrad
173,38,13,171.0,2,5.2,1,0.0,No,Undergrad
174,58,34,42.0,4,1.5,1,0.0,No,Undergrad
175,42,17,168.0,2,5.2,2,0.0,Yes,Graduate
176,45,20,85.0,4,1.1,2,0.0,No,Graduate
177,52,25,44.0,3,1.0,2,135.0,No,Graduate
178,29,3,65.0,4,1.8,2,244.0,No,Graduate
179,53,29,24.0,4,0.2,1,0.0,No,Undergrad
180,62,37,11.0,1,0.1,1,0.0,No,Undergrad
181,51,27,38.0,2,1.0,3,164.0,No,Advanced/Professional
182,36,12,10.0,4,0.7,2,81.0,No,Graduate
183,24,0,135.0,1,1.5,1,0.0,No,Undergrad
184,29,3,148.0,3,4.1,1,0.0,Yes,Undergrad
185,52,26,63.0,2,1.5,2,0.0,No,Graduate
186,39,14,115.0,1,1.0,3,0.0,No,Advanced/Professional
187,48,23,45.0,1,0.3,1,0.0,No,Undergrad
188,46,21,159.0,3,1.9,3,252.5,Yes,Advanced/Professional
189,64,40,169.0,2,2.1,1,122.0,No,Undergrad
190,55,29,112.0,2,1.4,1,0.0,No,Undergrad
191,60,36,93.0,1,4.3,1,0.0,No,Undergrad
192,51,25,29.0,1,0.3,3,140.0,No,Advanced/Professional
193,50,23,85.0,1,2.6666666666666665,2,0.0,No,Graduate
194,48,24,21.0,4,0.6,1,0.0,No,Undergrad
195,53,29,144.0,2,5.2,1,0.0,No,Undergrad
196,34,10,13.0,4,1.0,1,95.0,No,Undergrad
197,48,24,165.0,1,5.0,1,0.0,No,Undergrad
198,55,31,9.0,4,0.7,1,89.0,No,Undergrad
199,27,3,59.0,4,0.0,1,90.0,No,Undergrad
200,36,11,158.0,1,5.1,3,0.0,Yes,Advanced/Professional
201,32,6,29.0,1,1.9,3,0.0,No,Advanced/Professional
202,35,9,20.0,2,1.4,3,0.0,No,Advanced/Professional
203,30,3,68.0,4,2.0,2,0.0,No,Graduate
204,58,34,65.0,4,2.2,1,0.0,No,Undergrad
205,56,31,61.0,2,1.9,2,105.0,No,Graduate
206,38,12,91.0,4,1.4,2,100.0,No,Graduate
207,49,25,31.0,1,1.0,1,0.0,No,Undergrad
208,34,10,71.0,4,0.1,2,0.0,No,Graduate
209,40,16,73.0,4,2.6666666666666665,1,0.0,No,Undergrad
210,64,39,172.0,4,3.1,1,252.5,Yes,Undergrad
211,51,26,20.0,2,0.0,1,0.0,No,Undergrad
212,44,18,55.0,1,0.2,1,0.0,No,Undergrad
213,46,22,69.0,2,1.7,1,209.0,No,Undergrad
214,57,33,155.0,1,5.2,1,0.0,No,Undergrad
215,54,28,94.0,1,1.9,2,0.0,No,Graduate
216,38,14,92.0,2,0.0,1,249.0,No,Undergrad
217,27,3,125.0,2,0.6,1,0.0,No,Undergrad
218,39,14,74.0,3,3.0,1,0.0,No,Undergrad
219,44,20,72.0,3,0.3,3,0.0,No,Advanced/Professional
220,56,30,61.0,1,2.2,3,0.0,No,Advanced/Professional
221,32,6,25.0,2,0.3,1,0.0,No,Undergrad
222,45,19,83.0,2,1.7,2,0.0,No,Graduate
223,26,2,104.0,3,2.5,1,0.0,No,Undergrad
224,55,25,41.0,3,1.0,3,0.0,No,Advanced/Professional
225,52,27,58.0,4,1.8,3,91.0,No,Advanced/Professional
226,39,13,93.0,1,1.5,3,0.0,No,Advanced/Professional
227,24,-1,39.0,2,1.7,2,0.0,No,Graduate
228,47,23,148.0,2,5.2,1,0.0,No,Undergrad
229,47,22,53.0,4,1.9,3,98.0,No,Advanced/Professional
230,48,24,71.0,2,1.7,1,145.0,No,Undergrad
231,47,22,92.0,1,2.8,2,0.0,No,Graduate
232,35,10,61.0,4,2.1,3,0.0,No,Advanced/Professional
233,46,19,38.0,3,2.5,2,135.0,No,Graduate
234,62,37,58.0,4,1.7,1,0.0,No,Undergrad
235,26,1,80.0,1,0.8,2,150.0,No,Graduate
236,38,8,71.0,4,1.8,3,0.0,No,Advanced/Professional
237,43,18,89.0,3,0.5,3,0.0,No,Advanced/Professional
238,62,38,83.0,1,1.8,3,0.0,No,Advanced/Professional
239,57,32,28.0,3,0.2,1,0.0,No,Undergrad
240,28,3,52.0,4,1.7,2,0.0,No,Graduate
241,51,26,70.0,1,1.2,1,169.0,No,Undergrad
242,48,22,71.0,1,1.4,3,0.0,No,Advanced/Professional
243,41,16,75.0,1,3.7,3,252.5,No,Advanced/Professional
244,65,39,170.0,3,5.2,3,99.0,Yes,Advanced/Professional
245,41,17,78.0,4,0.8,1,78.0,No,Undergrad
246,35,11,25.0,2,1.0,2,0.0,No,Graduate
247,38,14,60.0,2,0.6,3,0.0,No,Advanced/Professional
248,53,29,120.0,4,2.7,2,111.0,Yes,Graduate
249,55,29,99.0,2,1.4,1,252.5,No,Undergrad
250,26,1,55.0,3,2.6,3,113.0,No,Advanced/Professional
251,30,6,29.0,3,1.0,2,117.0,No,Graduate
252,54,28,170.0,2,5.2,2,252.5,Yes,Graduate
253,65,40,53.0,3,2.2,1,0.0,No,Undergrad
254,47,21,138.0,1,0.0,1,0.0,No,Undergrad
255,65,41,134.0,3,3.9,3,121.0,Yes,Advanced/Professional
256,66,40,42.0,2,0.7,3,138.0,No,Advanced/Professional
257,26,0,99.0,4,2.3,3,0.0,No,Advanced/Professional
258,66,41,18.0,3,0.5,1,0.0,No,Undergrad
259,35,9,24.0,4,0.3,1,0.0,No,Undergrad
260,56,30,55.0,1,1.4,1,77.0,No,Undergrad
261,51,27,58.0,1,0.0,1,0.0,No,Undergrad
262,42,16,111.0,2,1.2,3,251.0,Yes,Advanced/Professional
263,49,23,33.0,1,0.3,3,0.0,No,Advanced/Professional
264,27,1,74.0,4,1.8,2,112.0,No,Graduate
265,45,19,38.0,2,0.7,1,0.0,No,Undergrad
266,49,23,23.0,4,0.6,3,98.0,No,Advanced/Professional
267,63,38,61.0,2,1.5,1,0.0,No,Undergrad
268,47,22,81.0,1,2.9,1,138.0,No,Undergrad
269,64,39,129.0,1,2.5,1,0.0,No,Undergrad
270,43,13,33.0,1,0.75,3,0.0,No,Advanced/Professional
271,60,36,63.0,4,2.2,1,0.0,No,Undergrad
272,40,14,70.0,4,1.4,2,0.0,No,Graduate
273,29,3,45.0,4,0.2,1,158.0,No,Undergrad
274,41,16,65.0,3,0.5,3,0.0,No,Advanced/Professional
275,30,5,74.0,4,2.2,1,0.0,No,Undergrad
276,49,24,50.0,4,1.8,3,0.0,No,Advanced/Professional
277,30,5,22.0,4,0.5,3,109.0,No,Advanced/Professional
278,29,2,30.0,4,1.0,3,0.0,No,Advanced/Professional
279,50,26,21.0,4,1.0,1,0.0,No,Undergrad
280,39,14,155.0,2,3.9,1,0.0,No,Undergrad
281,33,8,64.0,4,2.1,3,164.0,No,Advanced/Professional
282,57,31,65.0,4,2.6,3,0.0,No,Advanced/Professional
283,34,9,71.0,4,0.7,3,0.0,No,Advanced/Professional
284,61,36,40.0,3,0.5,2,0.0,No,Graduate
285,44,19,69.0,3,0.5,3,0.0,No,Advanced/Professional
286,40,13,69.0,3,2.3333333333333335,2,0.0,No,Graduate
287,51,25,45.0,3,0.6,2,131.0,No,Graduate
288,37,12,62.0,3,0.7,2,0.0,No,Graduate
289,44,19,172.0,2,4.3,3,252.5,Yes,Advanced/Professional
290,42,15,24.0,3,1.0,2,0.0,No,Graduate
291,51,25,80.0,1,4.9,1,0.0,No,Undergrad
292,43,16,8.0,3,0.6666666666666666,2,88.0,No,Graduate
293,30,5,38.0,4,0.8,1,129.0,No,Undergrad
294,45,19,93.0,4,2.6,3,0.0,No,Advanced/Professional
295,35,9,55.0,1,2.0,1,0.0,No,Undergrad
296,60,34,64.0,2,1.7,3,0.0,No,Advanced/Professional
297,34,9,122.0,1,0.0,1,0.0,No,Undergrad
298,55,25,70.0,3,1.4,3,0.0,No,Advanced/Professional
299,43,19,81.0,2,3.2,1,0.0,No,Undergrad
300,41,15,159.0,1,5.2,3,0.0,Yes,Advanced/Professional
301,34,9,70.0,4,1.3,1,0.0,No,Undergrad
302,65,39,150.0,2,5.2,1,196.0,No,Undergrad
303,45,21,152.0,2,5.2,1,0.0,No,Undergrad
304,49,25,186.5,4,3.0,1,252.5,Yes,Undergrad
305,48,23,22.0,1,0.1,1,0.0,No,Undergrad
306,60,35,22.0,1,1.3,1,123.0,No,Undergrad
307,55,29,79.0,3,0.8,1,0.0,No,Undergrad
308,42,18,33.0,1,1.4,3,0.0,No,Advanced/Professional
309,32,8,128.0,2,4.333333333333333,1,0.0,No,Undergrad
310,62,38,91.0,1,3.8,1,0.0,No,Undergrad
311,57,32,39.0,4,0.9,1,0.0,No,Undergrad
312,52,26,121.0,1,5.2,1,167.0,No,Undergrad
313,36,6,21.0,1,0.6666666666666666,3,0.0,No,Advanced/Professional
314,34,9,41.0,3,2.3,1,0.0,No,Undergrad
315,63,37,45.0,2,0.7,3,0.0,No,Advanced/Professional
316,24,-2,51.0,3,0.3,3,0.0,No,Advanced/Professional
317,57,31,165.0,1,1.6,2,0.0,Yes,Graduate
318,40,16,119.0,2,4.2,2,0.0,Yes,Graduate
319,27,2,110.0,4,1.8,3,190.0,No,Advanced/Professional
320,65,39,20.0,3,0.7,2,0.0,No,Graduate
321,60,34,64.0,1,0.8,2,248.0,No,Graduate
322,44,20,101.0,3,4.4,2,82.0,Yes,Graduate
323,63,39,101.0,1,3.9,1,0.0,Yes,Undergrad
324,59,34,99.0,1,4.4,1,0.0,Yes,Undergrad
325,56,30,158.0,4,5.2,1,0.0,Yes,Undergrad
326,54,28,89.0,1,1.9,2,0.0,No,Graduate
327,52,27,80.0,1,1.3,3,0.0,No,Advanced/Professional
328,58,32,114.0,2,2.0,1,252.5,No,Undergrad
329,60,35,49.0,3,0.5,2,0.0,No,Graduate
330,28,4,186.5,1,5.2,1,0.0,No,Undergrad
331,54,30,78.0,4,1.0,2,0.0,No,Graduate
332,32,6,28.0,3,1.0,1,0.0,No,Undergrad
333,59,33,42.0,1,0.8,2,0.0,No,Graduate
334,63,38,140.0,1,2.5,1,0.0,No,Undergrad
335,48,23,45.0,1,1.3,2,0.0,No,Graduate
336,56,32,122.0,2,0.3,1,252.5,No,Undergrad
337,36,12,65.0,3,2.6,2,0.0,No,Graduate
338,57,27,68.0,1,1.4,3,0.0,No,Advanced/Professional
339,29,3,153.0,2,2.0,1,252.5,No,Undergrad
340,39,13,89.0,4,1.4,2,0.0,No,Graduate
341,59,34,91.0,1,2.6,1,0.0,No,Undergrad
342,31,6,55.0,4,2.0,2,185.0,No,Graduate
343,43,19,118.0,2,3.3,1,0.0,No,Undergrad
344,35,5,22.0,1,0.6666666666666666,3,103.0,No,Advanced/Professional
345,54,24,63.0,3,1.4,3,138.0,No,Advanced/Professional
346,51,27,12.0,4,0.5,2,78.0,No,Graduate
347,44,19,50.0,3,2.7,2,0.0,No,Graduate
348,25,0,43.0,2,1.6,3,0.0,No,Advanced/Professional
349,40,15,173.0,4,5.2,1,0.0,Yes,Undergrad
350,26,2,60.0,2,3.0,1,132.0,Yes,Undergrad
351,39,14,113.0,1,1.0,3,0.0,No,Advanced/Professional
352,28,4,155.0,4,5.2,2,0.0,Yes,Graduate
353,52,28,91.0,4,1.0,2,0.0,No,Graduate
354,53,29,55.0,4,1.1,2,0.0,No,Graduate
355,44,20,173.0,2,1.4,1,252.5,No,Undergrad
356,43,19,71.0,3,0.3,3,0.0,No,Advanced/Professional
357,56,30,24.0,2,0.4,3,88.0,No,Advanced/Professional
358,38,14,42.0,1,2.0,2,81.0,No,Graduate
359,30,6,141.0,2,4.333333333333333,1,0.0,No,Undergrad
360,32,6,32.0,1,1.9,3,0.0,No,Advanced/Professional
361,35,10,55.0,4,1.3,1,0.0,No,Undergrad
362,43,19,153.0,2,5.2,1,0.0,No,Undergrad
363,58,32,113.0,2,1.4,1,252.5,No,Undergrad
364,25,0,30.0,2,1.7,2,0.0,No,Graduate
365,54,24,29.0,3,1.0,3,148.0,No,Advanced/Professional
366,57,32,174.0,1,5.2,2,252.5,Yes,Graduate
367,50,24,35.0,1,0.3,3,0.0,No,Advanced/Professional
368,32,8,98.0,2,2.0,2,175.0,No,Graduate
369,63,37,30.0,2,1.0,3,159.0,No,Advanced/Professional
370,31,6,58.0,2,2.5,1,0.0,No,Undergrad
371,36,12,25.0,4,1.0,1,147.0,No,Undergrad
372,58,34,19.0,4,0.7,1,0.0,No,Undergrad
373,56,30,44.0,4,0.7,2,174.0,No,Graduate
374,49,25,20.0,4,1.0,1,111.0,No,Undergrad
375,30,5,98.0,2,3.1,1,220.0,No,Undergrad
376,33,7,90.0,3,1.6,1,0.0,No,Undergrad
377,45,21,61.0,3,0.7,1,0.0,No,Undergrad
378,30,5,40.0,4,2.0,2,0.0,No,Graduate
379,47,23,38.0,2,2.1,3,0.0,No,Advanced/Professional
380,25,0,28.0,2,1.7,2,0.0,No,Graduate
381,63,33,34.0,1,1.5,3,0.0,No,Advanced/Professional
382,55,29,73.0,2,2.3,3,0.0,No,Advanced/Professional
383,65,41,133.0,4,2.0,1,0.0,Yes,Undergrad
384,44,18,53.0,1,0.2,1,0.0,No,Undergrad
385,51,25,21.0,4,0.6,3,0.0,No,Advanced/Professional
386,35,9,40.0,3,0.9,1,0.0,No,Undergrad
387,30,5,41.0,4,1.7,2,0.0,No,Graduate
388,31,5,82.0,4,1.8,2,0.0,No,Graduate
389,54,30,100.0,4,3.4,3,0.0,Yes,Advanced/Professional
390,45,20,155.0,1,5.2,1,0.0,No,Undergrad
391,45,19,45.0,1,0.2,1,0.0,No,Undergrad
392,58,32,9.0,3,0.3,3,0.0,No,Advanced/Professional
393,54,29,48.0,4,1.8,3,0.0,No,Advanced/Professional
394,53,28,18.0,4,0.1,3,109.0,No,Advanced/Professional
395,33,9,80.0,4,3.4,1,0.0,No,Undergrad
396,60,35,64.0,2,2.8,1,0.0,No,Undergrad
397,50,24,29.0,4,0.1,1,0.0,No,Undergrad
398,26,2,48.0,3,0.7,2,0.0,No,Graduate
399,54,30,23.0,2,0.4,1,0.0,No,Undergrad
400,28,3,84.0,4,0.2,1,0.0,No,Undergrad
401,36,10,179.0,3,5.2,1,0.0,Yes,Undergrad
402,29,2,30.0,4,1.5,2,112.0,No,Graduate
403,54,28,93.0,1,4.9,1,133.0,No,Undergrad
404,55,30,39.0,2,1.9,2,0.0,No,Graduate
405,61,36,60.0,3,0.5,2,182.0,No,Graduate
406,36,11,133.0,1,3.8,1,252.5,No,Undergrad
407,45,19,125.0,1,2.4,1,0.0,No,Undergrad
408,64,40,58.0,1,1.8,3,0.0,No,Advanced/Professional
409,60,36,89.0,2,2.8,1,0.0,No,Undergrad
410,49,22,82.0,1,2.6666666666666665,2,125.0,No,Graduate
411,47,23,110.0,2,3.3,1,0.0,No,Undergrad
412,60,36,54.0,4,2.3,3,0.0,No,Advanced/Professional
413,45,20,89.0,4,1.9,3,0.0,No,Advanced/Professional
414,32,7,42.0,3,2.3,1,0.0,No,Undergrad
415,52,28,41.0,3,1.9,2,0.0,No,Graduate
416,35,8,38.0,4,1.0,2,124.0,No,Graduate
417,40,15,85.0,2,0.4,1,0.0,No,Undergrad
418,53,29,83.0,4,1.0,2,0.0,No,Graduate
419,27,0,33.0,4,1.0,3,0.0,No,Advanced/Professional
420,58,33,50.0,4,2.1,1,0.0,No,Undergrad
421,47,22,58.0,4,3.6,3,0.0,No,Advanced/Professional
422,28,3,115.0,4,3.1,2,0.0,Yes,Graduate
423,46,20,145.0,2,5.2,1,0.0,No,Undergrad
424,43,19,161.0,2,5.2,1,0.0,No,Undergrad
425,56,30,38.0,1,0.2,1,0.0,No,Undergrad
426,28,3,28.0,4,0.8,1,0.0,No,Undergrad
427,42,18,75.0,3,2.3333333333333335,1,0.0,No,Undergrad
428,32,7,35.0,3,1.3,1,116.0,No,Undergrad
429,62,38,24.0,2,1.0,1,116.0,No,Undergrad
430,37,13,78.0,4,0.1,2,0.0,No,Graduate
431,51,26,113.0,1,1.3,3,161.0,No,Advanced/Professional
432,39,13,75.0,3,2.1,1,224.0,No,Undergrad
433,43,17,91.0,1,5.2,1,0.0,No,Undergrad
434,52,28,31.0,4,0.2,1,141.0,No,Undergrad
435,30,6,45.0,1,1.8,2,0.0,No,Graduate
436,52,26,80.0,3,0.8,1,0.0,No,Undergrad
437,61,35,50.0,3,1.4,3,112.0,No,Advanced/Professional
438,36,9,31.0,4,1.0,2,0.0,No,Graduate
439,58,32,113.0,2,3.8,2,119.0,Yes,Graduate
440,47,23,29.0,4,0.6,1,0.0,No,Undergrad
441,64,39,59.0,2,1.5,1,139.0,No,Undergrad
442,52,27,43.0,1,1.3,2,0.0,No,Graduate
443,58,28,122.0,1,3.0,3,115.0,Yes,Advanced/Professional
444,48,24,29.0,1,1.0,1,0.0,No,Undergrad
445,64,40,91.0,2,0.0,3,0.0,No,Advanced/Professional
446,58,32,65.0,3,2.2,3,0.0,No,Advanced/Professional
447,47,23,22.0,1,1.0,1,0.0,No,Undergrad
448,49,23,71.0,1,1.4,3,0.0,No,Advanced/Professional
449,31,4,60.0,4,2.0,2,0.0,No,Graduate
